Company ID,Company Name,Company Domain Name,Industry,Number of Employees,Annual Revenue,Phone Number,Website,Street Address,City,State/Region,Postal Code,Country,Create Date,Last Modified Date,Company Owner
COMP-24020cc8-bfde-48ea-8d9c-b3bc7b011927,"Hughes, Gardner and Marshall",franklin.com,Non-profit,9997,35814447.98,+1-425-516-4894x4363,https://franklin.com,56294 Dwayne Light Apt. 414,South Gregorystad,SC,28261,Cote d'Ivoire,2023-04-14,2025-02-02,jim.halpert@example.com
COMP-fbe28cee-0ef1-4b3a-95dc-83554262e0d1,Banks LLC,harris.net,Technology,4562,48052961.6,977-310-5713x564,https://harris.net,236 Armstrong Manor,West Erinfort,PW,87833,Latvia,2023-03-20,2023-11-13,angela.martin@example.com
COMP-0c3aa4ad-837d-4990-a90f-a95a4c563840,Mitchell-James,allen.com,Technology,7417,31389079.21,(873)301-0613x74087,https://allen.com,118 Williamson Place Suite 303,Port Marc,VI,67283,Somalia,2024-03-30,2024-04-19,dwight.schrute@example.com
COMP-1fcbde28-fc17-4a6e-8c11-732ba962e48a,Castro LLC,archer.com,Professional Services,2538,11063124.08,+1-830-383-2689x0815,https://archer.com,00630 Amanda Plains Apt. 385,Aliciaberg,MH,02368,Yemen,2025-04-04,2025-04-21,michael.scott@example.com
COMP-f9eb9d7e-6c7d-4084-932c-9be47c292eee,Massey Inc,wilson.biz,Technology,8440,34810068.02,980.709.0915,https://wilson.biz,12414 Tyler Stream,West Paul,ID,13594,Christmas Island,2024-07-20,2024-11-14,pam.beesly@example.com
COMP-b3f0d492-2572-45e2-9157-31313fa52616,"Smith, Brown and Mendoza",howell.org,Retail,4313,30037885.85,001-341-385-5656x2583,https://howell.org,12079 Lawrence Crescent Apt. 266,South Jared,CO,10836,Colombia,2022-04-01,2023-06-11,jim.halpert@example.com
COMP-b55e838f-17f8-4e51-8b6e-cd63a3e6e850,Charles-Fox,watkins-miller.biz,Non-profit,5339,6223025.48,001-500-300-7143,https://watkins-miller.biz,6478 Heath Meadow,West Stephaniechester,DE,63557,Bhutan,2023-06-21,2025-04-05,angela.martin@example.com
COMP-87431516-3ca8-452e-99d2-f8760bcbf693,Jones-Richardson,garcia.org,Non-profit,9077,40463351.83,(647)276-4379x199,https://garcia.org,93116 Hansen Stream,Lewismouth,CT,92959,Uganda,2025-04-25,2025-05-02,dwight.schrute@example.com
COMP-d0fddc79-13f0-4b0e-a423-e9c901f6c9a1,Zamora LLC,glass-arnold.com,Other,8818,7772974.31,617-506-4970x428,https://glass-arnold.com,83099 Macias Trace,Jorgeton,MS,44924,Cameroon,2022-11-13,2024-06-26,michael.scott@example.com
COMP-34cd3653-5d6a-43c3-b6b8-43ee84ca2d06,Chaney and Sons,patterson.net,Manufacturing,9971,14375487.21,2535692863,https://patterson.net,357 David Isle Apt. 825,North Nicolebury,DC,07511,Maldives,2024-10-01,2024-11-22,pam.beesly@example.com
COMP-3c82e5e8-5db8-42f6-989a-284a21385a01,Frye-Key,palmer.com,Manufacturing,4558,25180746.45,(536)896-2734,https://palmer.com,92703 Murphy Ramp Apt. 528,East Kathy,NM,06719,Algeria,2023-12-13,2024-05-05,jim.halpert@example.com
COMP-f705bd4b-fe40-4616-8457-395757100f0c,Turner and Sons,sosa.net,Non-profit,6104,36127320.5,555.397.4939x099,https://sosa.net,05054 Angela Circle Suite 283,Fryechester,IA,34981,Malta,2022-09-14,2023-01-02,angela.martin@example.com
COMP-b7d4cd6d-6359-4b37-bdd2-aa3b7d0b2f03,Romero-Davila,gutierrez.com,Professional Services,9788,30858016.89,459-253-4902x86840,https://gutierrez.com,4729 Mcmahon Highway Apt. 552,Lake Tracey,NV,13604,Russian Federation,2022-07-16,2023-04-21,dwight.schrute@example.com
COMP-ad4ab2ff-da7c-4c78-98b2-7ee9ab824e87,"Owens, Jenkins and Mcdaniel",bell-marshall.info,Retail,5927,37478426.06,970-458-9678x604,https://bell-marshall.info,78590 Judy Circles Apt. 919,New Jenniferbury,TX,55570,Myanmar,2022-11-16,2023-02-04,michael.scott@example.com
COMP-29bca222-aec9-4f6d-bd8c-df9841a15e05,"Scott, Black and Washington",chavez.net,Manufacturing,8550,16477375.5,001-216-310-8255x42146,https://chavez.net,56685 Patrick Trace,Nicholasmouth,MI,57854,Suriname,2023-08-15,2024-09-06,pam.beesly@example.com
COMP-4de72f98-fee6-4cc4-b71b-1d67be0a8245,Cooper-Moore,hall.com,Other,1380,35480277.09,001-758-868-0056x313,https://hall.com,1011 Sarah Plaza Apt. 244,South Michaelmouth,AZ,84371,Uzbekistan,2024-12-08,2025-01-21,jim.halpert@example.com
COMP-9229f585-4c08-4b0a-85f6-618289a339dd,Thompson PLC,olson.com,Finance,8552,46316165.5,+1-641-966-5399x9289,https://olson.com,6355 Banks Course,East Megan,NY,47882,Tanzania,2023-05-16,2023-06-12,angela.martin@example.com
COMP-f1d29309-9ff4-4e9f-b2d7-efd1c28876e2,"Myers, Garza and Estrada",perry-brown.com,Professional Services,4199,43072820.71,001-723-463-2674,https://perry-brown.com,6307 Lopez Island Apt. 342,Lewisland,MS,47171,Saint Helena,2023-01-14,2023-12-20,dwight.schrute@example.com
COMP-f2db5b4c-5c7b-4753-aa42-509c815c1033,"Vang, Ramirez and Fields",wallace-griffith.biz,Finance,7283,47104171.62,570.773.2392x757,https://wallace-griffith.biz,8951 Crystal Well,South Alexanderville,VT,18038,Sudan,2022-03-08,2022-08-22,michael.scott@example.com
COMP-6e9f30ad-0a80-41cc-ab6c-ed6b7aec42f6,Zimmerman Group,nichols-ramirez.com,Education,3170,7691254.36,001-545-607-0237,https://nichols-ramirez.com,177 Ramos Overpass,North Jessicafort,LA,15758,Cocos (Keeling) Islands,2024-01-30,2024-04-06,pam.beesly@example.com
COMP-292327f8-9e85-4d8e-a26d-a9368ce20d86,Lewis-Shelton,warren-wright.net,Non-profit,1339,5591766.17,001-958-457-4123x0116,https://warren-wright.net,43335 Young Fields,South Sharonmouth,VI,75982,Ethiopia,2022-03-25,2024-06-20,jim.halpert@example.com
COMP-c0b3782a-1dd4-403d-be0b-fe85a9d1f99d,"Garcia, Tucker and Jones",nichols.net,Finance,8631,48298346.0,242.626.5849,https://nichols.net,41544 Janet Inlet,Shanehaven,NC,17240,Luxembourg,2023-08-16,2024-06-07,angela.martin@example.com
COMP-0201f860-57c7-4642-9276-e04f5c4ee356,Pugh-Sanchez,foster.com,Technology,5934,28318227.06,9114462706,https://foster.com,57555 Nicole Road Suite 730,Lake Bethanychester,WI,67837,Mozambique,2023-10-08,2024-07-30,dwight.schrute@example.com
COMP-f00bb477-5d7a-447c-9b06-56f74be62489,Terrell-Bernard,zuniga.biz,Professional Services,5037,3426252.83,001-274-399-3827,https://zuniga.biz,4558 Sherri Place Suite 840,Dannybury,RI,72463,Tokelau,2023-06-09,2024-09-22,michael.scott@example.com
COMP-c067bfa5-e702-44cc-896e-92ff09d6fc38,"Jones, Johnson and Morgan",padilla-reyes.com,Technology,4905,30523766.85,(401)805-7281,https://padilla-reyes.com,32110 James Spur Apt. 617,New Tonya,VT,07092,Finland,2023-12-13,2024-08-29,pam.beesly@example.com
COMP-180d3190-7758-4f90-b81b-d70e32718958,Russo Ltd,weber.com,Professional Services,7837,991679.42,001-415-515-9320x8497,https://weber.com,9550 Erik Hills Apt. 222,Johnmouth,OR,22438,Brunei Darussalam,2024-12-07,2024-12-23,jim.halpert@example.com
COMP-9732dc14-6ee3-401a-b804-3359ad6113cc,"Murphy, Steele and Velazquez",suarez.info,Technology,6776,28295593.24,+1-504-738-6439x74660,https://suarez.info,1286 Christopher Flats,South Robinchester,PA,14708,Guinea-Bissau,2022-11-26,2024-12-30,angela.martin@example.com
COMP-045f55c5-1859-4ec3-94d6-6a58423a8bc8,Yu-Williams,johnson-simmons.com,Healthcare,4002,37469075.3,711-652-4424x660,https://johnson-simmons.com,0185 Smith Streets Suite 637,South Crystal,NJ,55944,Korea,2023-09-07,2025-04-05,dwight.schrute@example.com
COMP-c963e3fc-0c2d-4c75-91cf-4238b630082a,English Inc,gibson.com,Finance,221,15599840.52,589-890-2374x49550,https://gibson.com,3538 Chelsea Terrace,East Julie,IN,06694,Sudan,2024-02-18,2024-08-31,michael.scott@example.com
COMP-44e2b2e9-7f0c-4d27-a102-e50547181aad,"Lopez, Flores and Simpson",morrison.com,Other,2837,34289907.3,(222)455-3914,https://morrison.com,07483 Diaz Pines,Alvaradoport,GU,11450,Equatorial Guinea,2022-05-21,2024-06-20,pam.beesly@example.com
COMP-044de5d2-4d1f-4165-943b-ff5334a7e1fe,Herrera-Ibarra,montgomery.net,Technology,9115,34147395.33,+1-976-322-8905,https://montgomery.net,239 Robert Divide,Rogershaven,MH,19095,Yemen,2022-10-04,2023-07-25,jim.halpert@example.com
COMP-bba0e297-3f0b-481f-aebd-ed677ffa250d,Owens Group,frazier.com,Finance,5113,40199902.47,870.970.5626,https://frazier.com,86194 Keith Gardens Apt. 772,Port Thomas,OK,32548,Svalbard & Jan Mayen Islands,2023-10-31,2023-11-04,angela.martin@example.com
COMP-c26785da-4047-4fcb-b9a0-24b003d3ee6b,Preston-Vasquez,campbell.com,Non-profit,1678,26214714.72,724.551.0702x5353,https://campbell.com,9966 Natalie Passage Suite 906,Morrisberg,MH,63714,Norfolk Island,2023-04-01,2024-07-23,dwight.schrute@example.com
COMP-8aa958b7-8a3a-48a0-8d2d-48dfa0d2b674,Rodriguez-Shepherd,chavez-morrison.com,Retail,385,19929939.53,(953)472-1728x915,https://chavez-morrison.com,8790 Blanchard Flat,West Jenna,NM,69950,Palau,2025-02-12,2025-04-18,michael.scott@example.com
COMP-b16d1464-3033-4ed9-9330-d2026b01ec4d,"Jackson, Harris and Hill",sanders.com,Non-profit,7428,2028328.1,316.517.2674x299,https://sanders.com,4845 Lisa Tunnel,Lake Jake,MH,32761,San Marino,2022-07-07,2025-02-03,pam.beesly@example.com
COMP-2f6ae6f6-6aba-48ee-a08b-8a2943bbc441,Jackson Inc,gardner-hodge.com,Manufacturing,4601,26279813.18,(299)672-9362x150,https://gardner-hodge.com,77253 Mendez Mill Suite 021,Christophershire,NJ,81473,Cyprus,2025-03-13,2025-03-24,jim.halpert@example.com
COMP-ee0aa2cf-23fb-4727-9543-c2eb9571c99f,Hess-Leblanc,duarte-thomas.com,Other,8892,16673966.54,809.432.5531x6109,https://duarte-thomas.com,435 Ashley Isle Suite 678,Reedbury,MN,37719,South Africa,2024-03-14,2025-02-28,angela.martin@example.com
COMP-c0795c34-1366-433b-a071-705f98ea9645,Richardson-Bullock,gaines.com,Manufacturing,6335,16475554.89,(326)539-9363,https://gaines.com,14820 Johnson Run Suite 854,Ambermouth,TX,85369,South Africa,2023-03-10,2025-04-07,dwight.schrute@example.com
COMP-82d49c17-2fd7-4b05-858c-6349594aa4c2,"Trujillo, Alvarez and Scott",moore.net,Professional Services,2302,9767638.64,+1-621-801-3882x3326,https://moore.net,520 Golden Lodge Suite 163,New Michael,NH,67401,Samoa,2023-10-03,2023-12-29,michael.scott@example.com
COMP-7d9791d5-7342-488b-a1e5-963620af5d96,King-Payne,luna.com,Healthcare,9001,28938929.82,883-824-3713x76626,https://luna.com,12043 Wright Throughway,Mccallborough,NE,98434,Benin,2023-05-24,2023-12-09,pam.beesly@example.com
COMP-3ea35eae-88fc-4544-9c21-c3bf273c8641,Washington-Patton,horne-chavez.com,Non-profit,5036,41068470.33,490.308.7400x40086,https://horne-chavez.com,47398 Michelle Stravenue Apt. 690,West Albert,VI,55510,New Caledonia,2024-04-10,2025-04-09,jim.halpert@example.com
COMP-f0bcef5b-4e85-4aae-890b-730f5d584daf,"Garcia, Patterson and Austin",roach.info,Healthcare,7321,8638989.83,+1-842-419-0473x1420,https://roach.info,09906 Evans Squares Suite 514,Jeffersonton,VT,76173,Vietnam,2024-05-10,2024-12-17,angela.martin@example.com
COMP-5d74b989-aa6d-4e67-bd75-ce546ace854b,"Bradley, Wang and Clark",flores.info,Technology,3612,35163035.65,6486976978,https://flores.info,8549 Eugene Underpass Apt. 437,Port Jordan,MI,85305,Sri Lanka,2023-08-08,2023-09-18,dwight.schrute@example.com
COMP-97882a5f-1f36-4811-9bc9-134374ab6070,Munoz Ltd,dawson.com,Education,205,21644567.64,671-562-9514,https://dawson.com,258 Kramer Green,Coopershire,AS,74218,Chile,2022-11-27,2025-03-30,michael.scott@example.com
COMP-919e8b2b-c114-41f3-b782-df9c0ff7a1c3,"Nixon, Little and Wells",smith.net,Other,8574,27347547.92,773.354.4444x0840,https://smith.net,8581 Wolf Keys Apt. 119,South James,VA,29235,Suriname,2023-01-24,2024-04-21,pam.beesly@example.com
COMP-e9a3878d-118e-4eca-8f8a-cabd47b14f48,Brooks-Martinez,johnson-clark.com,Technology,7860,27624111.43,685-284-8305x96592,https://johnson-clark.com,78066 Jason Mission,Lake Jessica,MA,71529,Dominican Republic,2024-01-22,2024-11-29,jim.halpert@example.com
COMP-cf93df8c-8ec9-4991-91fd-19e852e171da,Hernandez-Moore,dyer-brown.com,Professional Services,310,44789522.65,475.331.3598x2664,https://dyer-brown.com,1061 Carson Lane Suite 972,Port Jenny,WI,34092,Saint Vincent and the Grenadines,2024-05-19,2024-11-16,angela.martin@example.com
COMP-9087dab3-65f8-4937-9f69-857a0770f46c,Williams-Alvarado,williams.info,Retail,8556,16919142.57,(239)500-9854x12733,https://williams.info,6295 Ryan Meadows,Wolfeview,GA,20253,Canada,2022-11-25,2024-10-09,dwight.schrute@example.com
COMP-730d06d2-31fa-4f9f-bff2-c141589d78e3,"Fowler, Carter and Silva",tucker-rich.com,Other,7102,35690503.27,001-209-224-3902x806,https://tucker-rich.com,854 Martin Valley,Port Darrellburgh,MI,02009,Serbia,2024-08-08,2025-02-11,michael.scott@example.com
COMP-72523266-9449-4f67-bd6e-9ac585a03e88,Wallace Inc,stanton.org,Professional Services,892,46448662.7,830.388.7193,https://stanton.org,6563 Kenneth Meadows Suite 082,Veronicamouth,ME,61645,Cyprus,2023-07-04,2023-07-27,pam.beesly@example.com
COMP-5ae17747-276d-4ef0-8ac9-011a18108772,"Dodson, Carey and Larsen",ross.com,Other,2172,46787724.07,759.793.8624,https://ross.com,03629 Chris Rapid,Lake Angelachester,NJ,11163,Denmark,2023-12-23,2024-06-05,jim.halpert@example.com
COMP-edb8c1ad-abcc-4072-b62b-044c18a8c1eb,"Miller, Cunningham and Jimenez",white.com,Manufacturing,1809,47408485.28,001-981-970-4915x8769,https://white.com,63398 Becker Knolls,Kevinton,MA,82399,Brazil,2023-02-10,2023-10-10,angela.martin@example.com
COMP-aff924e1-7c41-4eaa-a245-7cffcafbc114,"Ortiz, Evans and Jackson",myers.info,Non-profit,147,19367917.06,784-568-0302,https://myers.info,2814 Walter Ways Suite 188,East Steve,MI,48175,El Salvador,2022-03-01,2024-10-14,dwight.schrute@example.com
COMP-618179f0-24e0-4f2e-9a1a-97b925c35a20,King PLC,humphrey-brooks.net,Finance,8199,28993378.55,001-741-288-0468x481,https://humphrey-brooks.net,4140 Amy Ford,North Michaelburgh,IL,21476,Slovakia (Slovak Republic),2024-03-30,2025-02-24,michael.scott@example.com
COMP-79ab0882-38ae-422a-9ce7-44b8baed3352,"Lamb, Garcia and Obrien",galvan.org,Finance,1010,2692745.29,(712)390-2519x821,https://galvan.org,696 Laurie Shore Suite 766,Christophermouth,MH,80798,Libyan Arab Jamahiriya,2024-01-02,2024-12-21,pam.beesly@example.com
COMP-781b3112-d24d-4124-8e16-c1b281b0ad0d,Grant and Sons,smith-martin.com,Finance,593,28199293.17,4833210517,https://smith-martin.com,7093 Nguyen Village Suite 644,New Mariafurt,VT,21761,Cocos (Keeling) Islands,2022-06-18,2023-07-15,jim.halpert@example.com
COMP-6a9239ed-787d-4cc8-98f4-3db3510862c4,Lewis Group,malone.info,Other,1991,33236722.36,(868)695-8319x14793,https://malone.info,7777 Mary Squares Apt. 563,Port Virginiashire,OR,36922,United Kingdom,2024-09-27,2025-02-18,angela.martin@example.com
COMP-a6c40441-f506-4a1a-8f85-2caa509fda2d,Morgan Inc,garrison-medina.com,Retail,8790,3925835.6,8878674024,https://garrison-medina.com,24342 Guzman Shore Suite 372,Michaelborough,WY,85349,Mexico,2022-04-12,2024-05-18,dwight.schrute@example.com
COMP-c3aa9a6c-b2df-47c8-9f3f-8d97f43db99a,Dennis-Reyes,reese.com,Technology,3628,2466596.01,(243)667-0885x02314,https://reese.com,984 Michelle Prairie Apt. 732,Faulknerport,AS,20064,Angola,2024-09-07,2025-01-08,michael.scott@example.com
COMP-2795351c-eb30-4108-8d24-c29046357865,Butler-Wallace,hamilton.com,Other,8094,15485556.97,001-562-522-8558x92443,https://hamilton.com,21728 Sampson Lake,Russellmouth,KS,83841,Micronesia,2023-03-03,2023-03-15,pam.beesly@example.com
COMP-54b630f4-5327-4872-a714-4e7ba5f3f111,Atkins-Lambert,hudson-ward.biz,Other,2310,43537259.63,433-863-2407x31802,https://hudson-ward.biz,062 Wallace Crossing Suite 586,Port Jacquelineborough,PR,15895,Mauritius,2022-05-08,2023-02-20,jim.halpert@example.com
COMP-3ff479b5-4d18-4f7f-bb9d-5bf2cbf63643,"Clark, Scott and Sanchez",pratt-robbins.org,Technology,2393,39651481.19,241.205.2650,https://pratt-robbins.org,25147 Landry Village Apt. 341,Sierraberg,MA,46034,Argentina,2022-07-17,2024-01-07,angela.martin@example.com
COMP-3e2de959-ef65-42c0-9607-c9664eefb346,Edwards Group,yang-haney.com,Manufacturing,6421,27304674.58,464.409.4677x903,https://yang-haney.com,090 Heather Stravenue,Lake Crystal,RI,52632,Philippines,2023-11-16,2025-03-01,dwight.schrute@example.com
COMP-1de1d10f-13c5-4360-a17b-52059808b295,Petersen-Cruz,jarvis.com,Education,6325,819232.89,710.855.9093x8048,https://jarvis.com,34939 Melanie Stream,West Bernardview,MP,15844,Mauritius,2023-04-04,2023-09-10,michael.scott@example.com
COMP-7daa72f3-d983-43e6-86b8-42c282d30d51,"Lewis, Berg and Powell",carter.com,Professional Services,1664,6037446.23,604-983-7850x73104,https://carter.com,67247 Wright Key,Lake Brittney,FL,62935,Jordan,2023-04-24,2023-07-26,pam.beesly@example.com
COMP-cfb4a07b-6877-4b1e-83b1-cd188cddd5dd,Castillo-Campbell,lewis.com,Technology,9413,9733413.11,+1-393-921-6874x101,https://lewis.com,857 Bentley Station Suite 334,North Melissaland,LA,46128,China,2022-01-23,2023-07-11,jim.halpert@example.com
COMP-b5306a6b-2d34-449a-a762-3a06e4c34ed7,"Taylor, Gray and Henderson",freeman.net,Other,1059,22796435.39,277.912.0758x8831,https://freeman.net,85682 Jillian Stravenue,North Cassandrachester,SC,95916,Bermuda,2022-06-17,2025-01-31,angela.martin@example.com
COMP-aeb5f8ce-866a-485d-8d71-afae4ad57ab9,Hurst Ltd,harris.com,Non-profit,4325,19518959.15,(945)891-5594,https://harris.com,0393 Sheri Heights,Reedton,HI,72737,India,2022-03-01,2025-04-21,dwight.schrute@example.com
COMP-a830de3e-53e4-4d6c-b9bf-0954e75a4ba0,Burns-Gardner,thompson.org,Finance,8361,24727949.02,(304)923-4153,https://thompson.org,708 Evans Inlet Apt. 842,Howardberg,DC,80055,Djibouti,2024-02-13,2024-09-29,michael.scott@example.com
COMP-8e07dcf8-1abe-43d7-a59c-63a48349d586,"Beard, Watson and Murphy",koch.com,Non-profit,2460,27681720.41,(658)673-8234x204,https://koch.com,988 Brandi Throughway Apt. 294,West Mariaville,MT,47969,Azerbaijan,2023-04-14,2024-02-08,pam.beesly@example.com
COMP-00300e96-e283-40ed-90ca-bf8f93cf523b,"Wright, Campbell and Evans",davis.com,Other,5349,40949652.12,001-414-959-4304x8408,https://davis.com,9501 Justin Walk Suite 517,North Christopher,DE,43492,Northern Mariana Islands,2025-01-29,2025-02-26,jim.halpert@example.com
COMP-ac413d72-3923-472c-b2c7-e461c8547f57,Moreno-Jones,rasmussen.com,Professional Services,6627,33097033.23,988.431.5447x229,https://rasmussen.com,5142 King Inlet,Gabrielstad,LA,96110,Oman,2023-03-12,2023-06-12,angela.martin@example.com
COMP-34aea238-1bdc-420d-b455-c25016204b0a,Williams Group,torres-harvey.biz,Education,9906,43300668.69,(477)326-3256,https://torres-harvey.biz,1286 John Groves,North Erin,MT,83367,Wallis and Futuna,2024-08-26,2025-04-15,dwight.schrute@example.com
COMP-ac576c8c-eebd-4467-af65-64ec7bfd4a14,"Perez, Olson and Stokes",parsons-moore.com,Healthcare,3816,32013755.68,902.920.8466x331,https://parsons-moore.com,4262 Walter Greens,Lake Jon,MD,71275,Uruguay,2023-03-23,2024-02-08,michael.scott@example.com
COMP-e92a3b70-5d0d-4dc1-a79c-00984871575e,Smith-Mcintyre,lane.com,Professional Services,550,2670365.47,001-844-747-5409x04129,https://lane.com,24482 Lloyd Squares Apt. 603,Everettfurt,VT,90338,Dominican Republic,2023-02-05,2023-10-10,pam.beesly@example.com
COMP-5baae62e-0453-4da2-aa06-6bf993d82963,Thomas-Parker,hernandez.com,Technology,7313,10536763.38,001-554-350-2928x3908,https://hernandez.com,912 Jensen Crest Apt. 094,Gordonchester,DE,75996,Saint Barthelemy,2023-11-22,2024-04-22,jim.halpert@example.com
